Sentence_index,sentence,Project.COMPANY,Project.CAPACITY,Project.PROJECT_NAME,Project.COUNTRY_LOCATION,Project.STATUS,Project.PROJECT_DETAIL,Project.TARGET_DATE,Project.CITY_LOCATION,Project.TROPHY,Project.INPUT,Project.OUTPUT,Project.APPLICATION,Project.SITE_LOCATION,Project.PARTNER,Project.AMOUNT,Project.CARBON
16s0,Nel to deliver 20-MW electrolyser for Everfuel's green hydrogen project,['Nel'],['20-MW electrolyser'],['green hydrogen project'],[],[],[],[],[],[],[],[],[],[],[],[],[]
17s8,"Last month, the Gdansk-based refiner, Grupa Lotos, one of Poland's leading hydrogen producers, announced plans to build a pilot 100 MW electrolysis installation, a 20 MW power generation unit, storage and fuel cells by 2025. The company plans to expand electrolysis capacity to 1 GW and power generation to 200 MW by 2030.","['Gdansk-based refiner', 'Grupa Lotos']","['100 MW electrolysis installation', '20 MW power generation unit', '1 GW', '200 MW']",['hydrogen producers'],['Poland'],['announced plans'],['storage and fuel cells'],"['2025', '2030']",[],[],[],[],[],[],[],[],[]
24s1,"SEOUL, Jan 5 (Bernama) -- Hyundai Motor Co, South Korea's biggest carmaker, will build its first overseas hydrogen fuel cell systems plant in China as it seeks to enter the local hydrogen market, reported Yonhap News Agency quoting industry sources.",['Hyundai Motor Co'],[],['hydrogen fuel cell systems plant'],"['5', 'Bernama', 'South', 'Korea', 'China']",[],[],[],['SEOUL'],"['biggest carmaker', 'first overseas', 'the local hydrogen market']",[],[],[],[],[],[],[]
26s2,"The Financial Post reports in its Saturday edition that Quebec and Alberta are leveraging their respective strengths to emerge as hydrogen hubs. The Post's Quinten Casey writes that Hydro-Quebec is aiming to position its home province as the ideal location to produce so-called ""green"" hydrogen, capitalizing on its abundant hydroelectricity. Meanwhile, Alberta unveiled its natural gas vision and ambitions in October, which identified the export of ""blue"" hydrogen products as one of the key planks of its diversification strategy. While hydrogen is emissions-free, the process of producing the element is often not clean. Using electrolysis technology, water is split into hydrogen and oxygen, which requires massive amounts of electricity. ""Green"" hydrogen is produced by running an electric current through water using zero-carbon sources of electricity, such as hydro. This is where Hydro-Quebec sees an obvious edge. On Dec. 8, Hydro-Quebec announced plans to build and operate an electrolysis plant in a suburb of Montreal. The utility says it will be one of the world's most powerful electrolyzers for making green hydrogen, with a capacity of 88 megawatts. The project is being developed in partnership with Suncor Energy.",['The Financial Post'],['88 megawatts'],"['emerge as hydrogen hubs', 'green"" hydrogen', 'blue"" hydrogen products as one of the key planks of its diversification strategy', 'electrolysis plant']",[],"['unveiled', 'announced plans']","['its natural gas vision', 'running an electric current through water using zero-carbon sources of electricity']",[],"['Quebec', 'Alberta', 'Alberta', 'suburb', 'Montreal']","[""world's most powerful electrolyzers""]","['abundant hydroelectricity', 'clean', 'electrolysis technology', 'water', 'oxygen', 'hydro']","['emissions-free', 'hydrogen', 'green hydrogen']",['massive amounts of electricity'],['edge'],['Suncor Energy'],[],[]
37s9,wind-solar coupled comprehensive demonstration project of,[],[],['wind-solar coupled comprehensive demonstration project'],[],[],[],[],[],[],[],[],[],[],[],[],[]
39s0,North of England homes to pilot hydrogen heating,[],[],[],[],[],[],[],[],[],['hydrogen heating'],[],['North of England homes'],[],[],[],[]
39s6,"In addition, Northern Gas Networks is aiming to build the first ""hydrogen house"" in the UK, to be located at the Integrated Transport Gas Electric Research Laboratory in Gateshead.",['Northern Gas Networks'],[],['hydrogen house'],['UK'],[],[],[],['Gateshead'],[],[],[],[],['Integrated Transport Gas Electric Research Laboratory'],[],[],[]
65s14,This project is a key first step on the path to developing a commercial offshore hydrogen production industry and will demonstrate innovative solutions with significant potential in Europe and beyond,[],[],"['This project', 'a commercial offshore hydrogen production industry']",['Europe'],['first step'],[],[],[],[],[],[],[],[],[],[],[]
65s15,The project is planned to start in 2021 and run to the end of 2024,[],[],['The project'],[],[],[],"['2021', 'end of 2024']",[],[],[],[],[],[],[],[],[]
65s24,"Bart Biebuyck, Executive Director, Fuel Cells and Hydrogen Joint Undertaking (FCH JU), said: ""The OYSTER project is a very exciting addition to the FCH JU pallet of electrolysis projects that will allow the development of an offshore-spec electrolyser for green hydrogen to be generated in the harsh offshore environment","['Bart', 'Biebuyck']",[],"['Fuel Cells and Hydrogen Joint Undertaking (FCH JU)', 'FCH JU pallet of electrolysis projects']",[],[],[],[],[],[],['harsh offshore environment'],['green hydrogen'],[],[],[],[],[]
65s26,We are absolutely delighted to support this innovative project which reduces the environmental impact in further industrial applications,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
66s15,This project is a key first step on the path to developing a commercial offshore hydrogen production industry and will demonstrate innovative solutions with significant potential in Europe and beyond,[],[],"['This project', 'a commercial offshore hydrogen production industry']",['Europe'],['first step'],[],[],[],[],[],[],[],[],[],[],[]
66s16,The project is planned to start in 2021 and run to the end of 2024,[],[],['The project'],[],[],[],"['2021', 'end of 2024']",[],[],[],[],[],[],[],[],[]
