,ISIN,Ticker,Company,Sector,Industry,Business Activity,Country,Market Cap,Size,1M(%),3M(%),6M(%),YTD(%),Date,Asset Turnover,Current Ratio,Debt/Assets,Debt/Equity,Dividend Coverage Ratio,Dividend Payout Ratio,EBITDA Margin,EBITDA Y/Y,EPS Y/Y,EV/EBITDA,EV/FCF,EV/Revenue,Earnings Retention Rate,FCF Yield,Gross Profit Margin,Interest Coverage Ratio,Net Profit Margin,Operating Profit Y/Y,PE,PEG,Price/Book,Price/Sales,Quick Ratio,ROA,ROE,ROIC,Reinvestment Rate,Revenue Y/Y,Working Capital/Assets
0,US88160R1014,TSLA,Tesla Inc,Consumer Cyclicals,Automobiles & Auto Parts,Electric (Alternative) Vehicles,United States of America,752190000000.0,Large Cap >10B,19.15043769,93.15288562,164.6670358,12.45057888,2020-12-31,0.25286813999492774,1.87514,22.51093,50.87324,,,13.68595,,,,,21.0145265809269,,0.350670465116335,21.02359,2.66578,2.73338,,,6.7693434373131,,,1.58731,1.99405484807477,4.78452310785979,4.38559140657376,,,0.23911
1,US77543R1023,ROKU,Roku Inc,Consumer Cyclicals,Media & Publishing,Entertainment Production Equipment & Services,United States of America,49380000000.0,Large Cap >10B,14.56547987,78.51144863,156.6668866,17.17065237,2019-12-31,0.9746088993986982,2.58348,6.77498,14.26178,,,-4.02951,,5.145,,,13.637773882052,,-0.459569767611745,43.86702,-25.84911,-5.30923,3.6,,,,13.6658722798141,2.44473,-6.19429928520161,-12.710945129613,,-12.710945129613,0.52,0.3859
2,CH0334081137,CRSP,CRISPR Therapeutics AG,Healthcare,Biotechnology & Medical Research,Biotechnology & Medical Research (NEC),Switzerland,12248000000.0,Large Cap >10B,4.986377748,71.97716658,93.73319303,8.22284632,2019-12-31,-0.33689159995232554,,,,,0.0,17.77168,-1.331,-1.341,52.7583943913339,54.3118190016602,9.37605154649677,1.0,1.44176249298824,,,23.08712,-1.294,51.8636158490373,0.386635438939616,3.94074741235792,11.9737976525087,,8.59485475983566,10.0416034604467,10.0416034604467,10.0416034604467,,0.87222
3,US8522341036,SQ,Square Inc,Industrials,Professional & Commercial Services,Transaction & Payment Services,United States of America,97384000000.0,Large Cap >10B,0.9158878505,27.13999765,67.99688837,-0.771916927,2019-12-31,1.0355335981903937,1.90061,20.62797,54.74079,,0.0,5.21801,0.853,,,65.6620911237819,5.61684964531664,1.0,1.382827859057,39.99584,7.91741,7.96533,1.373,,0.081748204159924,15.7871361085315,6.1860007552774,1.87247,9.58714326005413,26.481343484917,16.9789459783448,26.481343484917,0.429,0.33523
4,US87918A1051,TDOC,Teladoc Health Inc,Healthcare,Healthcare Providers & Services,Telemedicine Services,United States of America,38245000000.0,Large Cap >10B,32.5912152,21.08403323,20.88430699,31.94138828,2019-12-31,-0.36812727331544126,6.52024,27.47708,43.43187,,,-5.21772,-0.049,-0.067,,,10.8709553656831,,0.315370799164306,59.62151,,-17.86784,0.119,,,6.00737647278311,10.8706820448684,,-6.31375325182497,-9.75401846144132,,-9.75401846144132,0.324,0.31059
5,US46185L1035,NVTA,Invitae Corp,Healthcare,Biotechnology & Medical Research,Bio Diagnostics & Testing,United States of America,9192484310.0,Mid Cap 2-10B,12.69913518,13.16270567,70.05494505,18.44056446,2019-12-31,-0.27899463849976286,5.40432,34.7703,71.58492,,,,1.091,0.374,,,6.6267619704922,,-11.2653516600976,45.53048,-17.48904,-111.59512,0.992,,,4.19760218806195,6.75919487695089,5.3237,,-89.3718869983878,,-89.3718869983878,0.468,0.46128
6,US98954M2008,Z,Zillow Group Inc,Real Estate,Real Estate Operations,Real Estate Services (NEC),United States of America,30906000000.0,Large Cap >10B,-0.07659313725,41.78893599,96.20995639,0.5084745763,2019-12-31,-0.08262127442659621,3.81324,37.10046,66.22158,,,-4.54683,-2.397,1.444,,,3.41624417607025,,-7.40277792549715,47.79052,-2.4249,-11.13303,4.41,,,2.789659964127135,3.44162675361314,2.90438,-5.85931867222855,-9.11171784083788,,-9.11171784083788,1.057,0.42232
7,US74624M1027,PSTG,Pure Storage Inc,Technology,"Computers, Phones & Household Electronics",Storage Devices,United States of America,6310118176.0,Mid Cap 2-10B,1.136860516,36.86390533,35.65982405,2.299867315,2020-02-02,0.2996058150071614,3.0751,20.20663,57.54917,,,-6.18051,0.033,0.034,,41.1234706547176,2.32028918816629,,2.06051025333119,68.97447,-6.85676,-12.22965,0.13,,,5.6610554369985,2.73827824563112,3.01245,-9.26799115287664,-25.6377647015303,,-25.6377647015303,0.209,0.53957
8,US7437131094,PRLB,Proto Labs Inc,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment (NEC),United States of America,5671325393.0,Mid Cap 2-10B,34.05063291,78.25281939,74.88233837,38.07040417,2019-12-31,0.22022755188829318,4.96877,,,,0.0,24.14416,-0.042,-0.164,23.0846069359674,47.5039709746944,5.57358331255123,1.0,1.95939456336246,51.29183,,13.87641,-0.102,43.152536034811,-2.63124376173444,4.64358273328002,5.98801229846445,4.75702,9.8487450605422,11.2934860421525,11.2934860421525,11.2934860421525,0.029,0.28031
9,LU1778762911,SPOT,Spotify Technology SA,Technology,Software & IT Services,Online Services (NEC),Luxembourg,59011000000.0,Large Cap >10B,-1.077159815,18.03499831,20.13271805,0.1080531367,2020-12-31,1.3212203685729942,0.81586,9.12109,20.57041,,,-2.30964,,,,,5.9766294072846,,0.374511376331139,25.57107,-0.57451,-7.3731,,,,17.2070756128315,6.13320304772229,,-10.1502445842068,-23.9983477901694,,,,-0.08441
